127.0.0.1 - - [31/Dec/2016:23:55:50 -0800] "GET /api/v1/refer?a=viator&i=com.viator&h=157b80c03133cba0eec1412eccae72f28367b424&k=APID&an=Google&p=iOS&u=574ED3DB-5D00-4F7A-BFCB-56F3E9CF5CF9&ca=-&op=touch HTTP/1.1" 200 18 "-" "Apsalar/postback_status" "-" 0.000 "-"
120.147.143.208 - - [01/Jan/2017:00:08:32 -0800] "GET /api/v1/event?a=viator&k=APID&u=2921BA57-844C-439E-9BE1-F0FD0A26A89D&av=5.3.0&i=com.viator&lag=0.02&n=viewProduct&e=%7B%22productName%22%3A%225-Day%20Singapore%20City%20Pass%3A%20Night%20Tour%2C%20Marina%20Bay%20Tour%20and%20Universal%20Studios%20Singapore%C2%AE%22%2C%22primaryDestinationId%22%3A18%2C%22primaryDestinationName%22%3A%22Singapore%22%2C%22viewProduct%22%3A%22%5C%225594SINPASS%5C%22%22%7D&p=iOS&rt=plist&s=76057509-9E47-4440-B990-74A8847512E4&t=771.47&idfa=(null)&idfv=014D5B37-75E8-4143-8ACC-D8AD58A43E9D&seq=5&sdk=Apsalar%2F7.3.1&h=78a11fa6fc8d17e4e769e43794a99b30d451b325 HTTP/1.0" 200 247 "-" "Viator/5.3.0.1 CFNetwork/808.2.16 Darwin/16.3.0" "120.147.143.208" 0.000 "-" country=AU&mo=iPhone4%2C1&adv_id=CEE05A4C-DC1C-408A-A5C8-03689432DA5C&ma=Apple&ann=Y
62.212.109.13 - - [01/Jan/2017:00:19:45 -0800] "GET /api/v1/event?a=viator&k=IDFA&u=49B8D86C-B719-4B6D-9CE2-38E8C94543C7&av=5.2.0&i=com.viator&lag=0.02&n=viewProduct&e=%7B%22productName%22%3A%22Big%20Bus%20Paris%20Hop-On%20Hop-Off%20Tour%22%2C%22primaryDestinationId%22%3A479%2C%22primaryDestinationName%22%3A%22Paris%22%2C%22viewProduct%22%3A%22%5C%226602PARHOHO%5C%22%22%7D&p=iOS&rt=plist&s=D702BA2F-4F38-4E6A-A5C1-513FD1F93498&t=1122.68&idfa=49B8D86C-B719-4B6D-9CE2-38E8C94543C7&idfv=5D019B2A-E6E3-49F5-8464-F8E41F37F990&seq=15&sdk=Apsalar%2F7.3.1&h=7a19d05708c5179560da948fb6f540716138b6d6 HTTP/1.0" 200 247 "-" "Viator/5.2.0.6 CFNetwork/808.2.16 Darwin/16.3.0" "62.212.109.13" 0.000 "-" country=FR&mo=iPhone8%2C1&adv_id=49B8D86C-B719-4B6D-9CE2-38E8C94543C7&ma=Apple&ann=Y
120.147.143.208 - - [01/Jan/2017:00:09:24 -0800] "GET /api/v1/event?a=viator&k=APID&u=2921BA57-844C-439E-9BE1-F0FD0A26A89D&av=5.3.0&i=com.viator&lag=0.04&n=viewProduct&e=%7B%22productName%22%3A%22Singapore%20Super%20Saver%3A%20Universal%20Studios%2C%20S.E.A.%20Aquarium%20and%20Maritime%20Experiential%20Museum%20Admission%20with%20Optional%20Hotel%20Pickup%22%2C%22primaryDestinationId%22%3A18%2C%22primaryDestinationName%22%3A%22Singapore%22%2C%22viewProduct%22%3A%22%5C%223695USSSEA%5C%22%22%7D&p=iOS&rt=plist&s=76057509-9E47-4440-B990-74A8847512E4&t=824.02&idfa=(null)&idfv=014D5B37-75E8-4143-8ACC-D8AD58A43E9D&seq=6&sdk=Apsalar%2F7.3.1&h=fb58713cb7b7b0c381a92fc1d1a42ee669d0023f HTTP/1.0" 200 247 "-" "Viator/5.3.0.1 CFNetwork/808.2.16 Darwin/16.3.0" "120.147.143.208" 0.000 "-" country=AU&mo=iPhone4%2C1&adv_id=CEE05A4C-DC1C-408A-A5C8-03689432DA5C&ma=Apple&ann=Y
120.147.143.208 - - [01/Jan/2017:00:10:47 -0800] "GET /api/v1/event?a=viator&k=APID&u=2921BA57-844C-439E-9BE1-F0FD0A26A89D&av=5.3.0&i=com.viator&lag=0.03&n=viewProduct&e=%7B%22productName%22%3A%22Singapore%20Super%20Saver%3A%20Universal%20Studios%2C%20S.E.A.%20Aquarium%20and%20Maritime%20Experiential%20Museum%20Admission%20with%20Optional%20Hotel%20Pickup%22%2C%22primaryDestinationId%22%3A18%2C%22primaryDestinationName%22%3A%22Singapore%22%2C%22viewProduct%22%3A%22%5C%223695USSSEA%5C%22%22%7D&p=iOS&rt=plist&s=76057509-9E47-4440-B990-74A8847512E4&t=907.06&idfa=(null)&idfv=014D5B37-75E8-4143-8ACC-D8AD58A43E9D&seq=7&sdk=Apsalar%2F7.3.1&h=fec2491a8ba2e57eee797e6308e19e5098855db8 HTTP/1.0" 200 247 "-" "Viator/5.3.0.1 CFNetwork/808.2.16 Darwin/16.3.0" "120.147.143.208" 0.000 "-" country=AU&mo=iPhone4%2C1&adv_id=CEE05A4C-DC1C-408A-A5C8-03689432DA5C&ma=Apple&ann=Y
120.147.143.208 - - [01/Jan/2017:00:11:13 -0800] "GET /api/v1/event?a=viator&k=APID&u=2921BA57-844C-439E-9BE1-F0FD0A26A89D&av=5.3.0&i=com.viator&lag=0.04&n=viewProduct&e=%7B%22productName%22%3A%22Full-Day%20Universal%20Studios%20Singapore%20Admission%20with%20Optional%20VIP%20Package%22%2C%22primaryDestinationId%22%3A18%2C%22primaryDestinationName%22%3A%22Singapore%22%2C%22viewProduct%22%3A%22%5C%2218449P20%5C%22%22%7D&p=iOS&rt=plist&s=76057509-9E47-4440-B990-74A8847512E4&t=932.98&idfa=(null)&idfv=014D5B37-75E8-4143-8ACC-D8AD58A43E9D&seq=8&sdk=Apsalar%2F7.3.1&h=02783d3d75bdfbc420e116a62bc0c71fc0309f55 HTTP/1.0" 200 247 "-" "Viator/5.3.0.1 CFNetwork/808.2.16 Darwin/16.3.0" "120.147.143.208" 0.000 "-" country=AU&mo=iPhone4%2C1&adv_id=CEE05A4C-DC1C-408A-A5C8-03689432DA5C&ma=Apple&ann=Y
120.147.143.208 - - [01/Jan/2017:00:11:45 -0800] "GET /api/v1/event?a=viator&k=APID&u=2921BA57-844C-439E-9BE1-F0FD0A26A89D&av=5.3.0&i=com.viator&lag=0.04&n=viewProduct&e=%7B%22productName%22%3A%225-Day%20Singapore%20City%20Pass%3A%20Night%20Tour%2C%20Marina%20Bay%20Tour%20and%20Universal%20Studios%20Singapore%C2%AE%22%2C%22primaryDestinationId%22%3A18%2C%22primaryDestinationName%22%3A%22Singapore%22%2C%22viewProduct%22%3A%22%5C%225594SINPASS%5C%22%22%7D&p=iOS&rt=plist&s=76057509-9E47-4440-B990-74A8847512E4&t=964.27&idfa=(null)&idfv=014D5B37-75E8-4143-8ACC-D8AD58A43E9D&seq=9&sdk=Apsalar%2F7.3.1&h=0fa2bb2fdf3b9cec4fa97a3d9984d6a4023368f7 HTTP/1.0" 200 247 "-" "Viator/5.3.0.1 CFNetwork/808.2.16 Darwin/16.3.0" "120.147.143.208" 0.000 "-" country=AU&mo=iPhone4%2C1&adv_id=CEE05A4C-DC1C-408A-A5C8-03689432DA5C&ma=Apple&ann=Y
120.147.143.208 - - [01/Jan/2017:00:12:11 -0800] "GET /api/v1/event?a=viator&k=APID&u=2921BA57-844C-439E-9BE1-F0FD0A26A89D&av=5.3.0&i=com.viator&lag=0.03&n=viewProduct&e=%7B%22productName%22%3A%225-Day%20Singapore%20City%20Pass%3A%20Night%20Tour%2C%20Marina%20Bay%20Tour%20and%20Universal%20Studios%20Singapore%C2%AE%22%2C%22primaryDestinationId%22%3A18%2C%22primaryDestinationName%22%3A%22Singapore%22%2C%22viewProduct%22%3A%22%5C%225594SINPASS%5C%22%22%7D&p=iOS&rt=plist&s=76057509-9E47-4440-B990-74A8847512E4&t=990.98&idfa=(null)&idfv=014D5B37-75E8-4143-8ACC-D8AD58A43E9D&seq=10&sdk=Apsalar%2F7.3.1&h=44b380ebb3b48d66c3fbe631b337c9321c2c3d72 HTTP/1.0" 200 247 "-" "Viator/5.3.0.1 CFNetwork/808.2.16 Darwin/16.3.0" "120.147.143.208" 0.000 "-" country=AU&mo=iPhone4%2C1&adv_id=CEE05A4C-DC1C-408A-A5C8-03689432DA5C&ma=Apple&ann=Y
120.147.143.208 - - [01/Jan/2017:00:12:19 -0800] "GET /api/v1/event?a=viator&k=APID&u=2921BA57-844C-439E-9BE1-F0FD0A26A89D&av=5.3.0&i=com.viator&lag=0.04&n=end_session&e=%7B%7D&p=iOS&rt=plist&s=76057509-9E47-4440-B990-74A8847512E4&t=999.01&idfa=(null)&idfv=014D5B37-75E8-4143-8ACC-D8AD58A43E9D&seq=0&sdk=Apsalar%2F7.3.1&h=5257e0206c624da1ce5682403ac705d93f3f4e5a HTTP/1.0" 200 247 "-" "Viator/5.3.0.1 CFNetwork/808.2.16 Darwin/16.3.0" "120.147.143.208" 0.000 "-" country=AU&mo=None&adv_id=None&ma=None&ann=Y
103.199.36.35 - - [01/Jan/2017:00:19:49 -0800] "GET /api/v1/event?a=viator&k=APID&u=59053037-8057-41C3-BC34-6A92B1219321&av=5.3.0&i=com.viator&lag=0.03&n=viewProduct&e=%7B%22productName%22%3A%22Mekong%20River%20Kayaking%20and%20Cycling%20Day%20Trip%22%2C%22primaryDestinationId%22%3A352%2C%22primaryDestinationName%22%3A%22Ho%20Chi%20Minh%20City%22%2C%22viewProduct%22%3A%22%5C%2224110P3%5C%22%22%7D&p=iOS&rt=plist&s=23B0B8D0-2062-4F62-A82C-2F24A4089C33&t=154.14&idfa=18132D9C-B16F-4117-A5B7-7131687AF35C&idfv=49494046-F9AC-4739-A7FC-89C8277B8245&seq=3&sdk=Apsalar%2F7.3.1&h=fe879f397834837ddb7d4f3e1dc99da4ab455320 HTTP/1.0" 200 247 "-" "Viator/5.3.0.1 CFNetwork/808.1.4 Darwin/16.1.0" "103.199.36.35" 0.000 "-" country=VN&mo=iPhone6%2C2&adv_id=18132D9C-B16F-4117-A5B7-7131687AF35C&ma=Apple&ann=Y
120.147.143.208 - - [01/Jan/2017:00:12:21 -0800] "GET /api/v1/event?a=viator&k=APID&u=2921BA57-844C-439E-9BE1-F0FD0A26A89D&av=5.3.0&i=com.viator&lag=0.05&n=Launch&e=%7B%22adInfoId%22%3A%2200000000-0000-0000-0000-000000000000%22%7D&p=iOS&rt=plist&s=76057509-9E47-4440-B990-74A8847512E4&t=1000.45&idfa=(null)&idfv=014D5B37-75E8-4143-8ACC-D8AD58A43E9D&seq=11&sdk=Apsalar%2F7.3.1&h=6e176f49943178d9556c87b405311b385f3b7ee3 HTTP/1.0" 200 247 "-" "Viator/5.3.0.1 CFNetwork/808.2.16 Darwin/16.3.0" "120.147.143.208" 0.000 "-" country=AU&mo=iPhone4%2C1&adv_id=CEE05A4C-DC1C-408A-A5C8-03689432DA5C&ma=Apple&ann=Y
103.40.148.88 - - [01/Jan/2017:00:19:49 -0800] "GET /api/v1/event?a=viator&k=IDFA&u=1204812C-5F81-4E69-88AC-D13862992247&av=5.3.0&i=com.viator&lag=0.07&n=viewProduct&e=%7B%22productName%22%3A%22Amazing%20Sunset%20Cruise%20by%20Double%20Decker%20Boat%20from%20Krabi%20Including%20Buffet%20Dinner%20and%20National%20Park%20Fee%22%2C%22primaryDestinationId%22%3A348%2C%22primaryDestinationName%22%3A%22Krabi%22%2C%22viewProduct%22%3A%22%5C%2243279P1%5C%22%22%7D&p=iOS&rt=plist&s=3E708C5C-31D0-4653-92FC-5D5D5758E891&t=1476.21&idfa=1204812C-5F81-4E69-88AC-D13862992247&idfv=CB3F6C9A-BB20-4B18-9AF8-764A6859C5B1&seq=29&sdk=Apsalar%2F7.3.1&h=77f84c847deec787ccec0d190a933d1e998bfcfb HTTP/1.0" 200 247 "-" "Viator/5.3.0.1 CFNetwork/808.2.16 Darwin/16.3.0" "103.40.148.88" 0.000 "-" country=TH&mo=iPhone7%2C2&adv_id=1204812C-5F81-4E69-88AC-D13862992247&ma=Apple&ann=Y
120.147.143.208 - - [01/Jan/2017:00:12:27 -0800] "GET /api/v1/event?a=viator&k=APID&u=2921BA57-844C-439E-9BE1-F0FD0A26A89D&av=5.3.0&i=com.viator&lag=0.10&n=end_session&e=%7B%7D&p=iOS&rt=plist&s=76057509-9E47-4440-B990-74A8847512E4&t=1005.36&idfa=(null)&idfv=014D5B37-75E8-4143-8ACC-D8AD58A43E9D&seq=0&sdk=Apsalar%2F7.3.1&h=8f914ee49f7b658dbc4e507886dce0a9ea735e0c HTTP/1.0" 200 247 "-" "Viator/5.3.0.1 CFNetwork/808.2.16 Darwin/16.3.0" "120.147.143.208" 0.000 "-" country=AU&mo=None&adv_id=None&ma=None&ann=Y
120.147.143.208 - - [01/Jan/2017:00:12:48 -0800] "GET /api/v1/event?a=viator&k=APID&u=2921BA57-844C-439E-9BE1-F0FD0A26A89D&av=5.3.0&i=com.viator&lag=0.16&n=Launch&e=%7B%22adInfoId%22%3A%2200000000-0000-0000-0000-000000000000%22%7D&p=iOS&rt=plist&s=76057509-9E47-4440-B990-74A8847512E4&t=1026.75&idfa=(null)&idfv=014D5B37-75E8-4143-8ACC-D8AD58A43E9D&seq=12&sdk=Apsalar%2F7.3.1&h=aeb71ba477ed114ffce152c281daa3443378ee40 HTTP/1.0" 200 247 "-" "Viator/5.3.0.1 CFNetwork/808.2.16 Darwin/16.3.0" "120.147.143.208" 0.000 "-" country=AU&mo=iPhone4%2C1&adv_id=CEE05A4C-DC1C-408A-A5C8-03689432DA5C&ma=Apple&ann=Y
210.1.95.97 - - [01/Jan/2017:00:19:50 -0800] "GET /api/v1/event?a=viator&k=IDFA&u=AC5FA68D-7FE3-47FE-80E7-A8CCD037AA8B&av=5.3.0&i=com.viator&lag=0.03&n=Launch&e=%7B%22adInfoId%22%3A%22AC5FA68D-7FE3-47FE-80E7-A8CCD037AA8B%22%7D&p=iOS&rt=plist&s=19036C83-2AA4-4AED-B2C9-E65B39BE0BA4&t=55.22&idfa=AC5FA68D-7FE3-47FE-80E7-A8CCD037AA8B&idfv=09F3EBB6-21ED-4AF1-880C-D444382E9DFA&seq=2&sdk=Apsalar%2F7.3.1&h=7225110a360f4815f477e662196ecc40d7e33ed1 HTTP/1.0" 200 247 "-" "Viator/5.3.0.1 CFNetwork/808.2.16 Darwin/16.3.0" "210.1.95.97" 0.000 "-" country=PH&mo=iPhone8%2C2&adv_id=AC5FA68D-7FE3-47FE-80E7-A8CCD037AA8B&ma=Apple&ann=Y
120.147.143.208 - - [01/Jan/2017:00:12:49 -0800] "GET /api/v1/event?a=viator&k=APID&u=2921BA57-844C-439E-9BE1-F0FD0A26A89D&av=5.3.0&i=com.viator&lag=0.49&n=end_session&e=%7B%7D&p=iOS&rt=plist&s=76057509-9E47-4440-B990-74A8847512E4&t=1027.85&idfa=(null)&idfv=014D5B37-75E8-4143-8ACC-D8AD58A43E9D&seq=0&sdk=Apsalar%2F7.3.1&h=88d734634ed3f373b7f9f2bb5f33730e9506e800 HTTP/1.0" 200 247 "-" "Viator/5.3.0.1 CFNetwork/808.2.16 Darwin/16.3.0" "120.147.143.208" 0.000 "-" country=AU&mo=None&adv_id=None&ma=None&ann=Y
49.185.246.209 - - [01/Jan/2017:00:19:56 -0800] "GET /api/v1/event?a=viator&k=APID&u=8FC292C6-FCC7-4E8D-8786-54828F81C19E&av=5.3.0&i=com.viator&lag=0.03&n=viewProduct&e=%7B%22productName%22%3A%22David%20Copperfield%20at%20the%20MGM%20Grand%20Hotel%20and%20Casino%22%2C%22primaryDestinationId%22%3A684%2C%22primaryDestinationName%22%3A%22Las%20Vegas%22%2C%22viewProduct%22%3A%22%5C%225156LASDAV%5C%22%22%7D&p=iOS&rt=plist&s=9AB350A2-FEAC-45EC-94A8-B5E239EA40E6&t=1618.95&idfa=13AC1A8F-915F-4F37-B7DD-F1A8542095BD&idfv=03334776-BCC3-4717-9B96-BE2E19524BEA&seq=46&sdk=Apsalar%2F7.3.1&h=f23d2d6ce1e57c02568817a3f92567b81ddaec36 HTTP/1.0" 200 247 "-" "Viator/5.3.0.1 CFNetwork/808.2.16 Darwin/16.3.0" "49.185.246.209" 0.000 "-" country=AU&mo=iPhone7%2C1&adv_id=13AC1A8F-915F-4F37-B7DD-F1A8542095BD&ma=Apple&ann=Y
203.156.183.233 - - [01/Jan/2017:00:19:57 -0800] "GET /api/v1/event?a=viator&k=APID&u=B2919101-1081-4508-B94A-0A7EB2C83C28&av=5.3.0&i=com.viator&lag=0.03&n=viewProduct&e=%7B%22productName%22%3A%22Private%20Tour%3A%20Chiang%20Rai%20City%20Sightseeing%22%2C%22primaryDestinationId%22%3A5268%2C%22primaryDestinationName%22%3A%22Chiang%20Rai%22%2C%22viewProduct%22%3A%22%5C%225942CEI04%5C%22%22%7D&p=iOS&rt=plist&s=747C2135-BC10-4177-8807-2D9765BEF823&t=220.38&idfa=659E6480-E7F8-4A92-8A75-1CFFE78D6DB2&idfv=114F2DB8-50F0-40C2-AE4D-AAFE0C286985&seq=5&sdk=Apsalar%2F7.3.1&h=c2a3dee3adeff2c91198c9fed5a0847bb7e16874 HTTP/1.0" 200 247 "-" "Viator/5.3.0.1 CFNetwork/808.0.2 Darwin/16.0.0" "203.156.183.233" 0.000 "-" country=TH&mo=iPhone8%2C1&adv_id=659E6480-E7F8-4A92-8A75-1CFFE78D6DB2&ma=Apple&ann=Y
220.246.92.244 - - [01/Jan/2017:00:19:58 -0800] "GET /api/v1/event?a=viator&av=3.4.0&e=%7B%22viewProduct%22%3A%22%5C%225461P9%5C%22%22%2C%22productTitle%22%3A%22London+Day+Tour+Including+London+Eye%22%2C%22primaryDestinationId%22%3A737%2C%22primaryDestinationName%22%3A%22London%22%7D&i=com.viator.mobile.android&n=viewProduct&p=Android&rt=json&s=3ebc13e6-68c0-40c9-8680-a6d7ceb74d02&sdk=Apsalar%2F6.5&t=141.328&u=08616c3b-a1ef-4f42-bab5-28e1cf03fc16&k=AIFA&seq=15&lag=0.009000000000000001&h=47b5f405f0c5102d33bcc6861d448e50c1cb767b HTTP/1.0" 200 18 "-" "Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-N9200 Build/MMB29K)" "220.246.92.244" 0.000 "-" country=HK&mo=SM-N9200&adv_id=08616c3b-a1ef-4f42-bab5-28e1cf03fc16&ma=samsung&ann=Y
47.15.76.253 - - [01/Jan/2017:00:20:00 -0800] "GET /api/v1/event?a=viator&av=3.3.0&e=%7B%22viewProduct%22%3A%22%5C%226776P3%5C%22%22%2C%22productTitle%22%3A%22Gold+Coast+Combo%3A+Jet+Boat+Ride+and+Sea+World+Theme+Park+Admission%22%2C%22primaryDestinationId%22%3A367%2C%22primaryDestinationName%22%3A%22Gold+Coast%22%7D&i=com.viator.mobile.android&n=viewProduct&p=Android&rt=json&s=4201c22b-ac69-45bf-9880-c879fab0f0ce&sdk=Apsalar%2F6.5&t=914.314&u=5631c4eb-7103-4519-b463-bc5ca2ff3d9c&k=AIFA&seq=21&lag=0.10300000000000001&h=270bbf7a1f13c9d6d80136ff0aaeb3315fbe66e4 HTTP/1.0" 200 18 "-" "Dalvik/2.1.0 (Linux; U; Android 6.0.1; LS-4505 Build/MMB29M)" "47.15.76.253" 0.000 "-" country=IN&mo=LS-4505&adv_id=5631c4eb-7103-4519-b463-bc5ca2ff3d9c&ma=LYF&ann=Y
210.1.95.97 - - [01/Jan/2017:00:20:02 -0800] "GET /api/v1/event?a=viator&k=IDFA&u=AC5FA68D-7FE3-47FE-80E7-A8CCD037AA8B&av=5.3.0&i=com.viator&lag=0.02&n=viewProduct&e=%7B%22productName%22%3A%22Avila%20and%20Segovia%20Day%20Trip%20from%20Madrid%22%2C%22primaryDestinationId%22%3A566%2C%22primaryDestinationName%22%3A%22Madrid%22%2C%22viewProduct%22%3A%22%5C%222140JTEMA11%5C%22%22%7D&p=iOS&rt=plist&s=19036C83-2AA4-4AED-B2C9-E65B39BE0BA4&t=67.51&idfa=AC5FA68D-7FE3-47FE-80E7-A8CCD037AA8B&idfv=09F3EBB6-21ED-4AF1-880C-D444382E9DFA&seq=3&sdk=Apsalar%2F7.3.1&h=8755e1cee6d9580bfcb9ceb937b6f0a82d78b3a9 HTTP/1.0" 200 247 "-" "Viator/5.3.0.1 CFNetwork/808.2.16 Darwin/16.3.0" "210.1.95.97" 0.000 "-" country=PH&mo=iPhone8%2C2&adv_id=AC5FA68D-7FE3-47FE-80E7-A8CCD037AA8B&ma=Apple&ann=Y
103.40.148.88 - - [01/Jan/2017:00:20:04 -0800] "GET /api/v1/event?a=viator&k=IDFA&u=1204812C-5F81-4E69-88AC-D13862992247&av=5.3.0&i=com.viator&lag=0.02&n=viewProduct&e=%7B%22productName%22%3A%22James%20Bond%20Island%20Day%20Tour%20from%20Krabi%20by%20Longtail%20Boat%20with%20optional%20Kayaking%22%2C%22primaryDestinationId%22%3A348%2C%22primaryDestinationName%22%3A%22Krabi%22%2C%22viewProduct%22%3A%22%5C%229574P46%5C%22%22%7D&p=iOS&rt=plist&s=3E708C5C-31D0-4653-92FC-5D5D5758E891&t=1490.87&idfa=1204812C-5F81-4E69-88AC-D13862992247&idfv=CB3F6C9A-BB20-4B18-9AF8-764A6859C5B1&seq=30&sdk=Apsalar%2F7.3.1&h=b98c029503d1a64fea06ec58a2dc39f2684fc41c HTTP/1.0" 200 247 "-" "Viator/5.3.0.1 CFNetwork/808.2.16 Darwin/16.3.0" "103.40.148.88" 0.000 "-" country=TH&mo=iPhone7%2C2&adv_id=1204812C-5F81-4E69-88AC-D13862992247&ma=Apple&ann=Y
62.212.109.13 - - [01/Jan/2017:00:20:04 -0800] "GET /api/v1/event?a=viator&k=IDFA&u=49B8D86C-B719-4B6D-9CE2-38E8C94543C7&av=5.2.0&i=com.viator&lag=0.03&n=viewProduct&e=%7B%22productName%22%3A%22Big%20Bus%20Paris%20Hop-On%20Hop-Off%20Tour%22%2C%22primaryDestinationId%22%3A479%2C%22primaryDestinationName%22%3A%22Paris%22%2C%22viewProduct%22%3A%22%5C%226602PARHOHO%5C%22%22%7D&p=iOS&rt=plist&s=D702BA2F-4F38-4E6A-A5C1-513FD1F93498&t=1142.00&idfa=49B8D86C-B719-4B6D-9CE2-38E8C94543C7&idfv=5D019B2A-E6E3-49F5-8464-F8E41F37F990&seq=16&sdk=Apsalar%2F7.3.1&h=9b7976bd69eab9b10c439c5e9d897c5530dbcfc6 HTTP/1.0" 200 247 "-" "Viator/5.2.0.6 CFNetwork/808.2.16 Darwin/16.3.0" "62.212.109.13" 0.000 "-" country=FR&mo=iPhone8%2C1&adv_id=49B8D86C-B719-4B6D-9CE2-38E8C94543C7&ma=Apple&ann=Y
83.236.148.64 - - [01/Jan/2017:00:20:06 -0800] "GET /api/v1/event?a=viator&k=APID&u=B1FBDB5C-D522-456E-9B21-859DEFAEE5AA&av=5.3.0&i=com.viator&lag=0.02&n=end_session&e=%7B%7D&p=iOS&rt=plist&s=A282C491-1D77-460C-8BE5-389F6C50B3B8&t=332.65&idfa=B4BE6423-5C85-4723-BD5A-E73D56D61B78&idfv=7327EF5E-EB62-403C-ADAB-469B16C2DF0A&seq=0&sdk=Apsalar%2F7.3.1&h=9405a7a8bd34e8b7d6fb8cee3362810f8a66bf2b HTTP/1.0" 200 247 "-" "Viator/5.3.0.1 CFNetwork/808.0.2 Darwin/16.0.0" "83.236.148.64" 0.000 "-" country=DE&mo=None&adv_id=None&ma=None&ann=Y
124.197.71.197 - - [01/Jan/2017:00:20:07 -0800] "GET /api/v1/event?a=viator&k=APID&u=FF1511ED-06F5-4AC1-94C9-1AF77764E953&av=5.3.0&i=com.viator&lag=0.02&n=viewProduct&e=%7B%22productName%22%3A%22Toledo%20Sightseeing%20Tour%20with%20Tourist%20Train%20from%20Madrid%22%2C%22primaryDestinationId%22%3A22438%2C%22primaryDestinationName%22%3A%22Toledo%22%2C%22viewProduct%22%3A%22%5C%2216901P13%5C%22%22%7D&p=iOS&rt=plist&s=476CA428-87B4-4C96-8013-FB1E64503909&t=4765.69&idfa=3A6E5378-8966-456F-8E16-3E4CDA380993&idfv=A4D7F5BE-F8A2-47F2-AA4C-543CDB8CBCF3&seq=17&sdk=Apsalar%2F7.3.1&h=db84867b36a1d4df554dfc6ebaa10d74f91e7a0e HTTP/1.0" 200 247 "-" "Viator/5.3.0.1 CFNetwork/808.0.2 Darwin/16.0.0" "124.197.71.197" 0.000 "-" country=SG&mo=iPhone8%2C2&adv_id=3A6E5378-8966-456F-8E16-3E4CDA380993&ma=Apple&ann=Y
112.198.100.80 - - [01/Jan/2017:00:05:30 -0800] "GET /api/v1/event?a=viator&k=IDFA&u=310DE7E2-1AF5-46D9-9E51-C0E7879F175D&av=5.3.0&i=com.viator&lag=7.51&n=Launch&e=%7B%22adInfoId%22%3A%22310DE7E2-1AF5-46D9-9E51-C0E7879F175D%22%7D&p=iOS&rt=plist&s=FF120B54-CF78-4605-9D59-E43CB5D3C64A&t=0.00&idfa=310DE7E2-1AF5-46D9-9E51-C0E7879F175D&idfv=555D1592-BE94-4FB9-A75B-02D45A41D273&seq=1&sdk=Apsalar%2F7.3.1&h=f2dd778f4c846043de843def457db8a189e75387 HTTP/1.0" 200 247 "-" "Viator/5.3.0.1 CFNetwork/808.2.16 Darwin/16.3.0" "112.198.100.80" 0.000 "-" country=PH&mo=iPhone9%2C3&adv_id=310DE7E2-1AF5-46D9-9E51-C0E7879F175D&ma=Apple&ann=Y
66.87.122.9 - - [01/Jan/2017:00:20:09 -0800] "GET /api/v1/start?a=viator&av=5.3.0&c=wwan&i=com.viator&lag=0.11&n=Viator&p=iOS&rt=plist&s=12E0A8DD-ED84-4630-BEE5-846F490D8EE6&sdk=Apsalar%2F7.3.1&u=65754C03-BB04-43E4-933B-E6ABB06DC963&v=10.2&d=iPhone8%2C1&k=IDFA&sc=fb189309987769660&scs=%5B%22http%22%2C%22viator%22%2C%22http%22%2C%22viator%22%2C%22http%22%2C%22viator%22%2C%22http%22%2C%22viator%22%2C%22fb189309987769660%22%5D&cr=1&dnt=0&idfa=65754C03-BB04-43E4-933B-E6ABB06DC963&idfv=6ABFA96F-68B1-4332-8FCA-D656F902BC68&h=cafecb67ebeca8c30916b318febbff837f58c903 HTTP/1.0" 200 457 "-" "Viator/5.3.0.1 CFNetwork/808.2.16 Darwin/16.3.0" "66.87.122.9" 0.004 "first=false redirect=false startRespTime=3 ddlUrl= ddlErr=<nil>" country=US&mo=iPhone8%2C1&adv_id=65754C03-BB04-43E4-933B-E6ABB06DC963&ma=Apple&reinstall=False&ann=Y
203.118.163.2 - - [01/Jan/2017:00:20:10 -0800] "GET /api/v1/event?a=viator&av=3.4.0&e=%7B%22viewProduct%22%3A%22%5C%222855KENNEDY%5C%22%22%2C%22productTitle%22%3A%22Kennedy+Space+Center+Day+Trip+with+Transport+from+Orlando%22%2C%22primaryDestinationId%22%3A663%2C%22primaryDestinationName%22%3A%22Orlando%22%7D&i=com.viator.mobile.android&n=viewProduct&p=Android&rt=json&s=f625192a-8603-4488-aef6-5b0bf86f823b&sdk=Apsalar%2F6.5&t=3902.456&u=c635fbce-2892-4338-997d-4eaa644638cd&k=AIFA&seq=99&lag=0.008&h=e367ee6f47aefd35cf9c144543434aa764912b32 HTTP/1.0" 200 18 "-" "Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-T800 Build/MMB29K)" "203.118.163.2" 0.000 "-" country=NZ&mo=SM-T800&adv_id=c635fbce-2892-4338-997d-4eaa644638cd&ma=samsung&ann=Y
127.0.0.1 - - [01/Jan/2017:00:20:10 -0800] "GET /api/v1/refer?a=viator&i=com.viator&h=157b80c03133cba0eec1412eccae72f28367b424&k=IDFA&an=Google&p=iOS&u=65754C03-BB04-43E4-933B-E6ABB06DC963&ca=-&op=touch HTTP/1.1" 200 18 "-" "Apsalar/postback_status" "-" 0.000 "-"
